Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
0_0_E15437_U,14,48,16,47,35,43,57,56,,,,
1_0_E2399_U,58,66,2,65,1,0,80,78,54,52,53,51
2_0_E25622_U,38,57,41,52,76,51,0,23,22,6,40,7
3_0_E2638_U,99,68,96,2,75,3,,46,45,1,100,0
4_0_E27405_U,13,61,11,51,26,50,73,72,,,,
5_0_E28177_U,30,15,32,17,47,,60,65,,,,
6_0_E41153_U,75,55,5,0,6,1,,18,36,17,48,56
7_0_E48771_U,83,86,0,6,1,5,10,7,16,8,15,9
8_0_E53011_U,30,58,17,10,1,0,66,72,,,,
9_0_E56352_U,24,21,22,10,43,9,114,113,,,,
10_0_E57084_U,71,23,73,25,,42,30,41,40,92,72,24
11_0_E58313_U,10,66,7,0,73,1,3,37,70,36,8,61
12_0_E59837_U,25,36,23,37,3,2,81,94,,,,
13_0_E60232_U,53,10,25,12,24,19,8,7,34,6,42,11
14_0_E80140_U,70,20,72,0,93,1,112,104,,,,
15_0_E86374_U,10,39,12,26,94,27,76,5,,4,,37
16_0_E92464_U,85,25,79,3,80,4,13,12,,48,,26
