Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
0_0_7001_U,34,63,5,48,,,76,83,,,,
1_0_7002_U,11,95,6,17,85,16,18,27,15,26,8,48
2_0_7003_U,7,52,9,51,,,,87,,,,
3_0_7005_U,19,28,0,30,1,86,7,14,15,11,21,12
4_0_7007_U,71,66,20,56,0,19,81,80,,,,35
5_0_7009_U,31,14,32,12,76,69,50,49,,80,,13
6_0_7011_U,68,16,5,8,6,7,89,84,,,,
7_0_7012_U,67,0,70,3,11,16,79,17,18,10,69,2
8_0_7013_U,22,36,19,34,0,38,51,52,28,13,20,14
9_0_7014_U,45,13,7,14,8,30,67,0,29,,28,
10_0_7015_U,62,5,63,7,13,0,85,84,,,,
11_0_7016_U,14,63,5,50,4,,7,17,24,,13,
12_0_7017_U,46,7,48,5,,,88,89,,,,
13_0_7018_U,45,27,44,4,,,63,64,,,,
14_0_7019_U,73,0,19,2,12,18,96,94,,,,
15_0_7020_U,41,2,12,5,13,87,25,26,24,50,23,3
16_0_7021_U,48,65,2,13,3,14,0,10,8,57,9,56
17_0_7022_U,3,12,4,14,48,63,74,77,,,,
18_0_7023_U,68,22,66,10,95,,0,13,,49,,25
19_0_7024_U,73,91,70,4,,,102,66,16,103,17,92
20_0_7025_U,3,75,6,66,55,,19,37,41,,5,
21_0_7026_U,66,89,4,84,,,13,14,36,15,35,62
22_0_7027_U,83,23,62,7,,,0,5,,38,,25
23_0_7032_U,8,91,2,38,,,21,25,0,26,1,56
24_0_7034_U,23,79,0,42,1,,3,34,33,22,25,21
25_0_7035_U,11,53,10,12,41,13,81,79,,,,
26_0_7037_U,24,14,22,12,51,73,84,81,,,,
27_0_7038_U,96,10,97,7,,,11,63,,34,,8
28_0_7039_U,45,86,46,80,,,7,6,5,,40,
29_0_7042_U,24,52,25,51,,,92,91,,,,
30_0_7043_U,20,70,18,67,6,,90,91,,,,
31_0_7045_U,75,60,40,2,54 0,1,12,11,38,,76,
32_0_7046_U,60,37,58,35,51,50,86,88,,,,
33_0_7047_U,28,44,29,45,2,33,76,72,,,,
34_0_7049_U,55,42,0,6,1,5,83,81,,,,
35_0_7050_U,0,23,1,21,35,34,79,78,,,,
36_0_7052_U,35,83,27,54,,,97,96,,,,
37_0_7053_U,53,81,54,9,65,10,24,90,49,97,50,80
38_0_7054_U,11,62,13,64,21,,86,85,,,,
39_0_7055_U,27,75,25,67,11,10,3,4,8,5,26,74
40_0_7056_U,59,20,57,0,,,29,28,,34,,18
41_0_7058_U,41,50,14,52,,,12,11,67,10,40,51
42_0_7060_U,32,57,33,55,,,85,86,,,,
43_0_7061_U,10,9,13,7,75,20,88,96,,,12,
44_0_7062_U,13,92,16,4,55,,38,37,36,59,15,91
45_0_7063_U,58,11,43,12,,30,64,70,,,,
46_0_7064_U,73,69,7,0,,,33,32,31,93,74,67
47_0_7065_U,18,56,16,57,,69,79,80,,,,
48_0_7066_U,11,51,0,53,,,30,7,8,,13,
49_0_7067_U,26,70,24,8,27,9,2,1,,50,,63
50_0_7068_U,16,6,14,4,17,32,84,85,,,,
51_0_7069_U,8,64,10,49,,,88,89,,,,
52_0_7070_U,37,52,36,54,,,90,93,,,,
53_0_7071_U,9,78,6,11,17,10,93,94,,,,
54_0_7073_U,64,17,39,14,40,21,1,2,,57,,15
55_0_7074_U,0,30,2,23,40,22,86,90,,,,
56_0_7075_U,44,25,4,26,3,84,98,86,,,,
57_0_7076_U,49,21,48,8,6,7,,78,,,,
58_0_7077_U,56,91,18,20,19,14,4,3,2,23,31,24
59_0_7078_U,54,49,56,36,,10,1,2,,22,,21
60_0_7079_U,63,82,6,20,,,0,34,21,46,22,47
61_0_7080_U,36,60,4,63,,,84,87,,75,,62
62_0_7081_U,88,0,89,3,,,17,10,,16,,2
63_0_7084_U,57,23,59,5,,,81,84,,,,
