Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
0_0_7004_U,31,20,32,6,77,5,96,92,,,,
1_0_7006_U,9,46,7,10,94,11,,,,,,22
2_0_7008_U,9,39,11,8,3,4,63,59,,,,
3_0_7010_U,53,45,55,41,65,,10,25,,1,,0
4_0_7029_U,52,6,51,4,,72,15,41,23,7,24,5
5_0_7030_U,29,58,5,56,6,64,73,74,,,,
6_0_7033_U,58,24,59,23,,,75,83,,,,
7_0_7036_U,53,0,55,2,,,42,43,47,,52,
8_0_7040_U,11,59,9,61,85,84,16,0,,72,,60
9_0_7044_U,29,52,32,55,,,1,2,3,60,31,54
10_0_7051_U,29,57,2,55,,,18,37,1,,0,
11_0_7057_U,18,54,16,55,0,,87,83,,,,
12_0_7059_U,37,63,28,61,,,,86,,,0,
13_0_7072_U,22,34,20,32,23,48,80,92,,,,
14_0_7082_U,74,52,76,4,84,5,,25,,25,61,51
15_0_7083_U,110,11,85,14,86,90,28,34,,67,,13
16_0_7085_U,56,31,55,32,4,40,83,92,,,,
17_0_7104_U,14,34,4,35,,,6,7,8,25,15,28
18_0_7110_U,25,65,22,62,,66,,41,41,,23,63
19_0_7112_U,47,0,49,2,,,81,79,,,,
20_0_7144_U,87,69,20,70,21,52,6,7,,25,,26
21_0_7146_U,40,32,36,29,12,72,8,41,89,42,37,30
22_0_7156_U,5,100,0,95,1,87,19,18,83,17,7,32
23_0_7169_U,100,52,99,41,,,62,56,61,,78,
24_0_7178_U,60,44,2,45,,,4,5,21,6,61,7
