Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
0_CROP001,148,33,0,13,147,12,209,222,,,,
1_CROP003,141,33,142,17,,,45,5,18,4,19,32
2_CROP004,88,17,69,56,,,121,120,,,,0
3_CROP005,58,72,7,73,,,108,109,,,,
4_CROP008,48,139,45,141,,,35,0,2,,46,
5_CROP009,37,78,21,69,,,125,124,,,,
6_CROP010,143,158,112,18,,19,31,114,157,35,142,36
7_CROP011,39,40,20,8,,,118,128,,,,
8_CROP012,29,43,12,39,11,,56,66,93,65,27,41
9_CROP014,82,19,80,20,86,,37,35,,17,,18
10_CROP015,4,94,2,51,0,1,143,147,,,,
12_CROP017,34,8,37,5,,,64,88,79,16,36,6
13_CROP018,74,110,17,25,18,24,14,116,,61,,60
14_CROP019,144,81,152,33,,,13,12,,62,,61
15_CROP020,42,19,39,11,,0,141,123,,,,
16_CROP021,56,38,24,36,1,0,14,13,86,12,57,37
17_CROP022,9,126,6,10,31,127,53,44,45,59,7,58
18_CROP023,69,1,59,3,60,8,145,117,,,,
19_CROP024,61,3,63,2,,,74,75,,,,
20_CROP026,101,158,93,32,,,42,50,37,,39,
21_CROP027,57,76,6,74,5,10,116,117,,,,
22_CROP028,80,131,11,21,,,3,4,14,5,70,130
23_CROP031,186,198,111,11,,,1,2,50,,113,
24_CROP032,173,43,168,14,,,50,20,21,71,166,44
25_CROP033,24,171,22,127,153,128,1,0,15,12,23,142
26_CROP034,60,42,43,41,,,131,132,,,,
27_CROP035,29,63,28,65,,,101,100,,,,
28_CROP036,23,13,21,0,,,145,139,,,,
29_CROP037,66,0,11,2,12,19,156,152,,,,1
30_CROP038,90,19,55,11,,10,96,95,,,,
31_CROP039,92,78,84,19,,75,0,13,,15,,51
32_CROP044,51,81,52,83,17,18,143,129,,,,
33_CROP045,40,89,14,59,15,,119,97,,,,
34_CROP046,25,128,22,90,,,,10,1,,23,
35_CROP047,21,0,18,4,107,43,24,36,,36,19,2
36_CROP048,105,7,104,9,,,131,129,,,,
37_CROP049,24,164,3,47,4,10,72,2,,73,,80
38_CROP051,10,52,14,51,,,89,88,,,,
39_CROP052,0,96,3,8,4,,29,127,93,92,2,91
40_CROP053,37,103,19,102,,,128,145,,,,
