Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
0_CROP006,113,13,8,9,7,35,16,71,33,52,34,10
1_CROP025,47,11,46,10,20,,13,54,18,,19,
2_CROP029,51,184,36,82,37,83,28,27,26,93,49,108
3_CROP030,112,80,69,22,,,2,7,102,8,113,72
4_CROP040,65,41,51,15,50,,12,11,74,,66,
5_CROP041,8,54,5,53,4,114,12,13,32,18,6,19
6_CROP042,67,110,4,43,3,44,129,128,,,,
7_CROP043,156,190,44,59,47,58,15,2,,3,,137
8_CROP050,21,87,18,71,,,57,96,61,67,19,66
9_CROP056,29,75,23,83,,,,98,6,98,7,131
10_CROP064,17,50,15,23,,,7,6,5,45,15,46
11_CROP072,18,85,20,86,3,,73,58,,,,
12_CROP084,0,87,2,44,,,112,138,,,,
13_CROP086,13,84,11,82,,93,118,119,,,,
14_CROP089,32,132,30,14,88,13,2,3,,4,,33
15_CROP096,29,63,28,61,,,102,97,,,,
16_CROP110,25,61,27,63,,,127,126,,,,
17_CROP113,129,0,77,3,,,41,64,,28,,2
18_CROP116,38,107,36,106,4,5,,,,,,
19_CROP119,73,7,36,9,1,0,2,31,32,30,74,8
20_CROP121,26,54,24,51,8,,,95,,,,52
21_CROP124,25,114,1,112,,,20,19,4,,5,
22_CROP125,33,7,15,8,14,40,117,119,,,34,
23_CROP138,152,0,76,2,75,3,44,43,83,,82,
24_CROP140,14,92,12,57,,,2,3,17,,13,93
